ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
1689697210.596282	ClNM344d9Dp4OyGcO9	192.168.144.131	61052	192.168.144.133	2106	tcp	-	0.000001	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.596125	CToTC723rHPReR92O6	192.168.144.131	61052	192.168.144.133	1086	tcp	-	0.000158	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.596282	Cb6MN030n3j335Vtt3	192.168.144.131	61052	192.168.144.133	8873	tcp	-	0.000210	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.598788	Ctsax03gW6qKQUnfC2	192.168.144.131	61052	192.168.144.133	6009	tcp	-	0.000001	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.598788	CkB7vR26HOJgEuoZBj	192.168.144.131	61052	192.168.144.133	9207	tcp	-	0.000001	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.598789	CUQJSn3lTUMm5Bw7gj	192.168.144.131	61052	192.168.144.133	7001	tcp	-	-	-	-	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.598789	Cx1lZv22fObDiA59j5	192.168.144.131	61052	192.168.144.133	2107	tcp	-	0.000005	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.598789	Cvm8LT1YGqDzIBQ2M3	192.168.144.131	61052	192.168.144.133	34573	tcp	-	0.000005	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.598794	CpQ0OI3tL3Kv26Xs0e	192.168.144.131	61052	192.168.144.133	1121	tcp	-	-	-	-	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.598794	CfD1UN2EZPL2ZP97Md	192.168.144.131	61052	192.168.144.133	1782	tcp	-	0.000001	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.598795	CbFTiG3GHAIxhP18nh	192.168.144.131	61052	192.168.144.133	3905	tcp	-	-	-	-	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.598828	CEcNBD3gu2hwaQVMQ9	192.168.144.131	61052	192.168.144.133	912	tcp	-	0.000001	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.598828	CpEUba1nXGXuI7Ija9	192.168.144.131	61052	192.168.144.133	16080	tcp	-	0.000143	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.599054	CfJWm93tWYeXxDW5Wk	192.168.144.131	61052	192.168.144.133	990	tcp	-	0.000172	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.599225	CkHjRz1znihcPpPr9j	192.168.144.131	61052	192.168.144.133	1277	tcp	-	0.000140	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.599594	Cb8nFb1CYWSnzNqZK1	192.168.144.131	61052	192.168.144.133	1066	tcp	-	0.000214	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.599366	CuwGDA349VLcqevLSj	192.168.144.131	61052	192.168.144.133	1700	tcp	-	0.000442	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.599694	CWzr6t4zLUJV6aBix4	192.168.144.131	61052	192.168.144.133	1494	tcp	-	0.000283	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.599808	CdFbua1QdXbNQKqWw9	192.168.144.131	61052	192.168.144.133	1999	tcp	-	0.000169	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.600129	CS4pSbrD1yB6xTb4k	192.168.144.131	61052	192.168.144.133	54328	tcp	-	0.000156	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.600129	ChYiMO36NF8B7TzTKh	192.168.144.131	61052	192.168.144.133	7	tcp	-	0.000156	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.600285	Co7S0i4mNwF1Etz28g	192.168.144.131	61052	192.168.144.133	2394	tcp	-	0.000109	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.600284	CXZS3M2vpD2n1efhyg	192.168.144.131	61052	192.168.144.133	5960	tcp	-	0.000110	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.603408	C0oIOv49aK4Et79TV	192.168.144.131	61052	192.168.144.133	4567	tcp	-	0.000001	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.603408	CptfVT2cjYTcOoojtd	192.168.144.131	61052	192.168.144.133	1044	tcp	-	0.000001	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.603408	CqBRY34z9GoWC7ZTLh	192.168.144.131	61052	192.168.144.133	2047	tcp	-	0.000001	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.603409	CyrHGFbHUVW7MA655	192.168.144.131	61052	192.168.144.133	2968	tcp	-	0.000018	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.603409	CjuF3jK8wSE5AYtg4	192.168.144.131	61052	192.168.144.133	3995	tcp	-	0.000019	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.603427	Cf0SFM2OhkestyWMhb	192.168.144.131	61052	192.168.144.133	722	tcp	-	0.000001	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.603428	CJhU0N1vmZz0cDI2Nc	192.168.144.131	61052	192.168.144.133	7938	tcp	-	0.000277	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.603531	C2jU9g3jJUqmc4euxk	192.168.144.131	61052	192.168.144.133	9878	tcp	-	0.000174	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.603532	CHfAibOuuQXwSLC01	192.168.144.131	61052	192.168.144.133	5003	tcp	-	0.000332	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.603621	CCrXEy4DZUOzjiqEu3	192.168.144.131	61052	192.168.144.133	8021	tcp	-	0.000243	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.604063	Cni4Sd12J0gkImEbt9	192.168.144.131	61052	192.168.144.133	5959	tcp	-	0.000141	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.603621	C749yJ3qJSTYj3nRwg	192.168.144.131	61052	192.168.144.133	1272	tcp	-	0.000583	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.604063	CRkMFv2QNyebZnp3j8	192.168.144.131	61052	192.168.144.133	9200	tcp	-	0.000472	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.604204	CNKYK9dJgxgQ60Maa	192.168.144.131	61052	192.168.144.133	1002	tcp	-	0.000332	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.604203	CXAvdP34C2tlr4raSd	192.168.144.131	61052	192.168.144.133	10621	tcp	-	0.000333	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.604436	CnQ2Wu141YXUgX80zk	192.168.144.131	61052	192.168.144.133	7106	tcp	-	0.000100	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.604436	CrW6Fg2Sv60VSJp884	192.168.144.131	61052	192.168.144.133	3323	tcp	-	0.001742	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.604628	CBK4cG3HfA06OXB18a	192.168.144.131	61052	192.168.144.133	2875	tcp	-	0.001551	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.604629	Cjax2V3fA67AxeS7v4	192.168.144.131	61052	192.168.144.133	1688	tcp	-	0.001551	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.606179	Cx4KWb2FjtY7rlwjjd	192.168.144.131	61052	192.168.144.133	1045	tcp	-	0.000001	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.606179	CONcVX1djnEzg15z7a	192.168.144.131	61052	192.168.144.133	4004	tcp	-	0.000273	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.606179	COFgtTJkRzUL6WJQg	192.168.144.131	61052	192.168.144.133	1058	tcp	-	0.000274	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.606179	CBdlUZ270xux3VMolh	192.168.144.131	61052	192.168.144.133	1914	tcp	-	0.000941	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.606453	ClkoH82OqBkBUe9SVl	192.168.144.131	61052	192.168.144.133	25735	tcp	-	0.000668	0	0	RSTRH	T	T	0	r	1	40	1	40	-
